,relevent_experience,company_size,training_hours
17622,Has relevent experience,no experience,28
17623,No relevent experience,no experience,53
17624,No relevent experience,no experience,30
17625,Has relevent experience,10000+,78
17626,Has relevent experience,5000-9999,20
17627,Has relevent experience,no experience,95
17628,Has relevent experience,no experience,7
17629,Has relevent experience,50-99,154
17630,Has relevent experience,10/49,256
17631,Has relevent experience,50-99,24
17632,Has relevent experience,10/49,24
17633,No relevent experience,no experience,50
17634,Has relevent experience,10000+,42
17635,Has relevent experience,no experience,50
17636,Has relevent experience,no experience,36
17637,Has relevent experience,10000+,176
17638,Has relevent experience,50-99,304
17639,No relevent experience,no experience,152
17640,No relevent experience,10000+,39
17641,Has relevent experience,100-500,50
17642,Has relevent experience,100-500,74
17643,Has relevent experience,no experience,75
17644,Has relevent experience,100-500,34
17645,Has relevent experience,500-999,149
17646,Has relevent experience,100-500,110
17647,No relevent experience,no experience,19
17648,No relevent experience,no experience,35
17649,No relevent experience,no experience,43
17650,No relevent experience,no experience,138
17651,No relevent experience,<10,28
17652,Has relevent experience,<10,15
17653,Has relevent experience,no experience,6
17654,Has relevent experience,5000-9999,100
17655,No relevent experience,1000-4999,56
17656,No relevent experience,no experience,34
17657,Has relevent experience,no experience,21
17658,Has relevent experience,100-500,74
17659,No relevent experience,500-999,8
17660,Has relevent experience,10000+,78
17661,Has relevent experience,no experience,65
17662,No relevent experience,no experience,15
17663,Has relevent experience,10000+,85
17664,No relevent experience,no experience,15
17665,Has relevent experience,500-999,18
17666,Has relevent experience,<10,48
17667,Has relevent experience,10000+,10
17668,Has relevent experience,50-99,314
17669,No relevent experience,500-999,8
17670,Has relevent experience,no experience,114
17671,No relevent experience,10000+,6
17672,No relevent experience,no experience,332
17673,Has relevent experience,50-99,212
17674,Has relevent experience,<10,18
17675,Has relevent experience,10000+,26
17676,No relevent experience,no experience,134
17677,Has relevent experience,no experience,144
17678,Has relevent experience,100-500,21
17679,No relevent experience,no experience,79
17680,Has relevent experience,100-500,4
17681,No relevent experience,50-99,22
17682,Has relevent experience,500-999,85
17683,Has relevent experience,100-500,10
17684,Has relevent experience,100-500,41
17685,Has relevent experience,500-999,62
17686,Has relevent experience,50-99,105
17687,Has relevent experience,10000+,112
17688,Has relevent experience,50-99,66
17689,Has relevent experience,50-99,72
17690,Has relevent experience,100-500,69
17691,Has relevent experience,no experience,14
17692,Has relevent experience,<10,30
17693,No relevent experience,5000-9999,74
17694,No relevent experience,no experience,16
17695,Has relevent experience,10/49,288
17696,No relevent experience,no experience,56
17697,Has relevent experience,1000-4999,320
17698,Has relevent experience,100-500,192
17699,Has relevent experience,10/49,49
17700,No relevent experience,<10,64
17701,No relevent experience,10/49,44
17702,Has relevent experience,50-99,4
17703,No relevent experience,no experience,143
17704,Has relevent experience,50-99,24
17705,Has relevent experience,no experience,95
17706,No relevent experience,<10,7
17707,No relevent experience,100-500,166
17708,Has relevent experience,no experience,3
17709,Has relevent experience,10000+,22
17710,Has relevent experience,10000+,81
17711,Has relevent experience,no experience,17
17712,Has relevent experience,50-99,32
17713,Has relevent experience,1000-4999,38
17714,Has relevent experience,10/49,32
17715,Has relevent experience,no experience,74
17716,No relevent experience,no experience,69
17717,Has relevent experience,1000-4999,52
17718,Has relevent experience,<10,29
17719,Has relevent experience,100-500,32
17720,No relevent experience,50-99,43
17721,Has relevent experience,no experience,42
17722,Has relevent experience,10/49,156
17723,Has relevent experience,100-500,102
17724,No relevent experience,no experience,33
17725,Has relevent experience,no experience,13
17726,Has relevent experience,no experience,50
17727,No relevent experience,<10,87
17728,Has relevent experience,no experience,82
17729,Has relevent experience,50-99,7
17730,Has relevent experience,<10,56
17731,No relevent experience,no experience,96
17732,No relevent experience,no experience,24
17733,Has relevent experience,50-99,33
17734,No relevent experience,no experience,150
17735,Has relevent experience,10000+,85
17736,Has relevent experience,1000-4999,78
17737,Has relevent experience,no experience,86
17738,Has relevent experience,10/49,29
17739,No relevent experience,10/49,100
17740,Has relevent experience,no experience,24
17741,No relevent experience,1000-4999,37
17742,Has relevent experience,5000-9999,79
17743,Has relevent experience,50-99,250
17744,Has relevent experience,no experience,51
17745,Has relevent experience,no experience,23
17746,Has relevent experience,10/49,20
17747,Has relevent experience,500-999,81
17748,Has relevent experience,5000-9999,36
17749,Has relevent experience,100-500,28
17750,Has relevent experience,1000-4999,85
17751,Has relevent experience,500-999,188
17752,Has relevent experience,50-99,46
17753,Has relevent experience,<10,32
17754,Has relevent experience,1000-4999,61
17755,No relevent experience,1000-4999,24
17756,Has relevent experience,50-99,59
17757,Has relevent experience,500-999,19
17758,Has relevent experience,10000+,88
17759,Has relevent experience,100-500,67
17760,No relevent experience,500-999,2
17761,Has relevent experience,50-99,98
17762,No relevent experience,no experience,34
17763,No relevent experience,no experience,12
17764,Has relevent experience,no experience,70
17765,Has relevent experience,100-500,74
17766,No relevent experience,100-500,50
17767,No relevent experience,500-999,40
17768,No relevent experience,10/49,156
17769,Has relevent experience,1000-4999,46
17770,Has relevent experience,50-99,65
17771,Has relevent experience,10/49,96
17772,Has relevent experience,50-99,133
17773,Has relevent experience,50-99,53
17774,Has relevent experience,500-999,12
17775,Has relevent experience,100-500,89
17776,No relevent experience,no experience,40
17777,Has relevent experience,50-99,66
17778,Has relevent experience,no experience,23
17779,Has relevent experience,10000+,114
17780,No relevent experience,<10,48
17781,Has relevent experience,1000-4999,42
17782,No relevent experience,no experience,32
17783,Has relevent experience,10000+,9
17784,No relevent experience,no experience,52
17785,Has relevent experience,10000+,14
17786,Has relevent experience,10/49,39
17787,No relevent experience,no experience,2
17788,Has relevent experience,100-500,29
17789,Has relevent experience,50-99,36
17790,Has relevent experience,no experience,134
17791,Has relevent experience,50-99,48
17792,No relevent experience,no experience,80
17793,No relevent experience,<10,25
17794,Has relevent experience,10000+,30
17795,Has relevent experience,5000-9999,64
17796,Has relevent experience,no experience,106
17797,No relevent experience,10000+,41
17798,Has relevent experience,50-99,28
17799,Has relevent experience,100-500,35
17800,Has relevent experience,50-99,18
17801,Has relevent experience,50-99,5
17802,No relevent experience,5000-9999,56
17803,Has relevent experience,10/49,61
17804,No relevent experience,no experience,94
17805,Has relevent experience,50-99,13
17806,Has relevent experience,50-99,35
17807,No relevent experience,no experience,75
17808,Has relevent experience,no experience,150
17809,Has relevent experience,50-99,67
17810,No relevent experience,10000+,33
17811,No relevent experience,5000-9999,99
17812,No relevent experience,no experience,64
17813,No relevent experience,no experience,28
17814,Has relevent experience,500-999,108
17815,Has relevent experience,10000+,20
17816,Has relevent experience,10/49,144
17817,Has relevent experience,100-500,10
17818,No relevent experience,no experience,160
17819,Has relevent experience,<10,300
17820,Has relevent experience,1000-4999,95
17821,Has relevent experience,100-500,330
17822,Has relevent experience,10000+,26
17823,No relevent experience,no experience,86
17824,No relevent experience,no experience,47
17825,Has relevent experience,100-500,28
17826,Has relevent experience,10000+,129
17827,Has relevent experience,no experience,69
17828,No relevent experience,no experience,11
17829,Has relevent experience,50-99,40
17830,Has relevent experience,10/49,72
17831,Has relevent experience,10/49,94
17832,No relevent experience,50-99,102
17833,No relevent experience,50-99,57
17834,Has relevent experience,<10,21
17835,Has relevent experience,100-500,75
17836,Has relevent experience,no experience,45
17837,No relevent experience,100-500,127
17838,Has relevent experience,no experience,162
17839,Has relevent experience,10/49,118
17840,No relevent experience,1000-4999,3
17841,Has relevent experience,100-500,80
17842,Has relevent experience,no experience,55
17843,No relevent experience,no experience,139
17844,Has relevent experience,<10,80
17845,Has relevent experience,50-99,29
17846,No relevent experience,50-99,162
17847,Has relevent experience,1000-4999,44
17848,Has relevent experience,50-99,11
17849,No relevent experience,no experience,1
17850,Has relevent experience,10000+,47
17851,Has relevent experience,10000+,10
17852,Has relevent experience,500-999,43
17853,No relevent experience,10000+,43
17854,Has relevent experience,100-500,328
17855,Has relevent experience,50-99,90
17856,Has relevent experience,no experience,18
17857,Has relevent experience,50-99,24
17858,Has relevent experience,50-99,90
17859,Has relevent experience,1000-4999,60
17860,Has relevent experience,500-999,84
17861,Has relevent experience,<10,6
17862,Has relevent experience,<10,101
17863,No relevent experience,no experience,32
17864,Has relevent experience,no experience,24
